192.168.0.155 - - [13/Sep/2018:22:27:25 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:22:27:25 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 107
192.168.0.155 - - [13/Sep/2018:22:27:28 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 470
192.168.0.155 - - [13/Sep/2018:22:28:23 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_update HTTP/1.1" 200 -
192.168.0.155 - - [13/Sep/2018:22:37:38 +0900] "POST /TodayMyStore/AndroidController?command=android_login HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:22:37:40 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 470
192.168.0.155 - - [13/Sep/2018:22:37:51 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:22:37:52 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 107
192.168.0.155 - - [13/Sep/2018:22:54:38 +0900] "POST /TodayMyStore/AndroidController?command=android_login HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:22:54:40 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 470
192.168.0.155 - - [13/Sep/2018:22:54:57 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:22:54:57 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 314
192.168.0.155 - - [13/Sep/2018:22:55:02 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:22:55:02 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 314
192.168.0.155 - - [13/Sep/2018:22:55:10 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_insert HTTP/1.1" 200 2
192.168.0.155 - - [13/Sep/2018:22:55:13 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 470
192.168.0.155 - - [13/Sep/2018:22:55:19 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:22:55:20 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 314
192.168.0.155 - - [13/Sep/2018:22:58:27 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:22:58:27 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 314
192.168.0.155 - - [13/Sep/2018:22:58:34 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 470
192.168.0.155 - - [13/Sep/2018:22:59:38 +0900] "POST /TodayMyStore/AndroidController?command=android_login HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:22:59:39 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 470
