127.0.0.1 - - [05/Aug/2018:19:24:20 +0900] "GET / HTTP/1.1" 404 1073
10.20.31.71 - - [05/Aug/2018:19:34:40 +0900] "POST /TodayMyStore/AndroidController?command=android_IdCheck HTTP/1.1" 200 1
10.20.31.71 - - [05/Aug/2018:19:35:18 +0900] "POST /TodayMyStore/AndroidController?command=android_IdCheck HTTP/1.1" 200 1
10.20.31.71 - - [05/Aug/2018:19:35:37 +0900] "POST /TodayMyStore/AndroidController?command=android_join HTTP/1.1" 200 1
10.20.31.71 - - [05/Aug/2018:19:35:43 +0900] "POST /TodayMyStore/AndroidController?command=android_login HTTP/1.1" 200 1
10.20.31.71 - - [05/Aug/2018:19:35:47 +0900] "POST /TodayMyStore/AndroidController?command=android_user_info HTTP/1.1" 200 65
10.20.31.71 - - [05/Aug/2018:19:39:47 +0900] "POST /TodayMyStore/AndroidController?command=android_login HTTP/1.1" 200 1
10.20.31.71 - - [05/Aug/2018:20:00:21 +0900] "POST /TodayMyStore/AndroidController?command=android_login HTTP/1.1" 200 1
10.20.31.71 - - [05/Aug/2018:21:42:56 +0900] "POST /TodayMyStore/AndroidController?command=android_IdCheck HTTP/1.1" 200 1
