127.0.0.1 - - [14/Aug/2018:01:02:02 +0900] "GET / HTTP/1.1" 404 1073
192.168.0.39 - - [14/Aug/2018:01:02:11 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 390
192.168.0.39 - - [14/Aug/2018:01:02:26 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 390
192.168.0.39 - - [14/Aug/2018:01:03:13 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 390
192.168.0.39 - - [14/Aug/2018:01:03:47 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 390
192.168.0.39 - - [14/Aug/2018:01:03:49 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 390
192.168.0.39 - - [14/Aug/2018:01:07:48 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 390
192.168.0.39 - - [14/Aug/2018:02:52:26 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 390
192.168.0.39 - - [14/Aug/2018:02:53:02 +0900] "POST /TodayMyStore/AndroidController?command=android_remove_item HTTP/1.1" 200 -
192.168.0.39 - - [14/Aug/2018:02:53:06 +0900] "POST /TodayMyStore/AndroidController?command=android_remove_item HTTP/1.1" 200 -
192.168.0.39 - - [14/Aug/2018:02:54:17 +0900] "POST /TodayMyStore/AndroidController?command=android_remove_item HTTP/1.1" 200 -
192.168.0.39 - - [14/Aug/2018:02:54:28 +0900] "POST /TodayMyStore/AndroidController?command=android_remove_item HTTP/1.1" 200 -
192.168.0.39 - - [14/Aug/2018:02:54:42 +0900] "POST /TodayMyStore/AndroidController?command=android_remove_item HTTP/1.1" 200 -
192.168.0.39 - - [14/Aug/2018:03:05:50 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 390
192.168.0.39 - - [14/Aug/2018:03:05:54 +0900] "POST /TodayMyStore/AndroidController?command=android_remove_item HTTP/1.1" 200 -
192.168.0.39 - - [14/Aug/2018:03:05:59 +0900] "POST /TodayMyStore/AndroidController?command=android_remove_item HTTP/1.1" 200 -
192.168.0.39 - - [14/Aug/2018:03:19:32 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 2
192.168.0.39 - - [14/Aug/2018:03:19:40 +0900] "POST /TodayMyStore/AndroidController?command=android_add_item HTTP/1.1" 200 1
192.168.0.39 - - [14/Aug/2018:03:19:41 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 39
192.168.0.39 - - [14/Aug/2018:03:20:01 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 39
192.168.0.39 - - [14/Aug/2018:03:20:02 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 39
192.168.0.39 - - [14/Aug/2018:03:20:05 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 39
192.168.0.39 - - [14/Aug/2018:03:20:06 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 39
192.168.0.39 - - [14/Aug/2018:03:20:08 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 39
192.168.0.39 - - [14/Aug/2018:03:20:09 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 39
