127.0.0.1 - - [25/Aug/2018:09:53:27 +0900] "GET / HTTP/1.1" 404 1073
192.168.33.104 - - [25/Aug/2018:09:53:49 +0900] "POST /TodayMyStore/AndroidController?command=android_IdCheck HTTP/1.1" 200 1
192.168.33.104 - - [25/Aug/2018:09:53:52 +0900] "POST /TodayMyStore/AndroidController?command=android_IdCheck HTTP/1.1" 200 1
192.168.33.104 - - [25/Aug/2018:09:54:07 +0900] "POST /TodayMyStore/AndroidController?command=android_join HTTP/1.1" 200 1
192.168.33.104 - - [25/Aug/2018:09:54:56 +0900] "POST /TodayMyStore/AndroidController?command=android_join HTTP/1.1" 200 1
192.168.33.104 - - [25/Aug/2018:09:55:02 +0900] "POST /TodayMyStore/AndroidController?command=android_login HTTP/1.1" 200 1
192.168.33.104 - - [25/Aug/2018:09:55:05 +0900] "POST /TodayMyStore/AndroidController?command=android_user_info HTTP/1.1" 200 67
192.168.33.104 - - [25/Aug/2018:09:55:13 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 2
192.168.33.104 - - [25/Aug/2018:09:55:15 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 2
192.168.33.104 - - [25/Aug/2018:09:55:15 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 2
192.168.33.104 - - [25/Aug/2018:09:55:16 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 2
192.168.33.104 - - [25/Aug/2018:09:55:16 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 2
192.168.33.104 - - [25/Aug/2018:09:55:18 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 2
192.168.33.104 - - [25/Aug/2018:09:55:18 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 2
192.168.33.104 - - [25/Aug/2018:09:55:28 +0900] "POST /TodayMyStore/AndroidController?command=android_add_item HTTP/1.1" 200 1
192.168.33.104 - - [25/Aug/2018:09:55:28 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 38
192.168.33.104 - - [25/Aug/2018:09:55:44 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 2
192.168.33.104 - - [25/Aug/2018:09:55:44 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 38
192.168.33.104 - - [25/Aug/2018:09:55:45 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 2
192.168.33.104 - - [25/Aug/2018:09:55:49 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 38
192.168.33.104 - - [25/Aug/2018:09:55:54 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 38
192.168.33.104 - - [25/Aug/2018:09:55:59 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 38
192.168.33.104 - - [25/Aug/2018:09:56:32 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 38
192.168.33.104 - - [25/Aug/2018:09:56:47 +0900] "POST /TodayMyStore/AndroidController?command=android_add_item HTTP/1.1" 200 1
192.168.33.104 - - [25/Aug/2018:09:56:48 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 73
192.168.33.104 - - [25/Aug/2018:09:56:56 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 73
192.168.33.104 - - [25/Aug/2018:10:02:32 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 73
192.168.33.104 - - [25/Aug/2018:10:02:36 +0900] "POST /TodayMyStore/AndroidController?command=android_remove_item HTTP/1.1" 200 1
192.168.33.104 - - [25/Aug/2018:10:02:36 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 36
192.168.33.104 - - [25/Aug/2018:10:02:42 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 36
192.168.33.104 - - [25/Aug/2018:10:09:05 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 36
192.168.33.104 - - [25/Aug/2018:10:15:17 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 2
192.168.33.104 - - [25/Aug/2018:10:15:20 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 36
192.168.33.104 - - [25/Aug/2018:10:15:21 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 2
192.168.33.104 - - [25/Aug/2018:10:15:23 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 36
192.168.33.104 - - [25/Aug/2018:10:15:27 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 2
192.168.33.104 - - [25/Aug/2018:10:15:36 +0900] "POST /TodayMyStore/AndroidController?command=android_add_item HTTP/1.1" 200 1
192.168.33.104 - - [25/Aug/2018:10:15:36 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 40
192.168.33.104 - - [25/Aug/2018:10:15:38 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 36
