127.0.0.1 - - [21/Aug/2018:17:47:05 +0900] "GET / HTTP/1.1" 404 1073
172.30.1.58 - - [21/Aug/2018:17:48:16 +0900] "POST /TodayMyStore/AndroidController?command=android_IdCheck HTTP/1.1" 200 1
172.30.1.58 - - [21/Aug/2018:17:48:21 +0900] "POST /TodayMyStore/AndroidController?command=android_join HTTP/1.1" 200 1
172.30.1.58 - - [21/Aug/2018:17:48:55 +0900] "POST /TodayMyStore/AndroidController?command=android_login HTTP/1.1" 200 1
172.30.1.58 - - [21/Aug/2018:17:48:57 +0900] "POST /TodayMyStore/AndroidController?command=android_user_info HTTP/1.1" 200 66
172.30.1.58 - - [21/Aug/2018:17:49:04 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 2
172.30.1.58 - - [21/Aug/2018:17:49:45 +0900] "POST /TodayMyStore/AndroidController?command=android_add_item HTTP/1.1" 200 1
172.30.1.58 - - [21/Aug/2018:17:49:45 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 39
172.30.1.58 - - [21/Aug/2018:17:49:47 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 2
172.30.1.58 - - [21/Aug/2018:17:49:49 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 39
172.30.1.58 - - [21/Aug/2018:17:49:53 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 2
172.30.1.58 - - [21/Aug/2018:17:50:04 +0900] "POST /TodayMyStore/AndroidController?command=android_add_item HTTP/1.1" 200 1
172.30.1.58 - - [21/Aug/2018:17:50:04 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 40
172.30.1.58 - - [21/Aug/2018:17:50:37 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 39
172.30.1.58 - - [21/Aug/2018:17:50:39 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 40
172.30.1.58 - - [21/Aug/2018:17:50:43 +0900] "POST /TodayMyStore/AndroidController?command=android_remove_item HTTP/1.1" 200 1
172.30.1.58 - - [21/Aug/2018:17:50:43 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 2
172.30.1.58 - - [21/Aug/2018:17:50:49 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 39
172.30.1.58 - - [21/Aug/2018:17:50:53 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 39
172.30.1.58 - - [21/Aug/2018:17:50:59 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 2
172.30.1.58 - - [21/Aug/2018:17:51:02 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 39
